SURVYEAR	LFSSTAT	PROV	SEX	TENURE	UNION	HRLYEARN	HOURS	EDUC	AGE	ANNUAL_WAGE
1997	Unemployed	QC	Female	NA	NA	NA	NA	Some PS	30-44	NA
1997	Employed,	ON	Female	212	Yes	21	40	Some PS	30-44	43680
1997	Employed,	QC	Male	240	Yes	21.98	35	Ba or More	45-59	40003.6
1997	Employed,	QC	Female	182	Yes	17.8	35	HS Grad	30-44	32396
1997	Employed,	ON	Female	179	No	23	40	Ba or More	30-44	47840
1997	Employed,	AB	Male	32	No	26.92	40	Some PS	30-44	55993.6
1997	Employed,	QC	Male	240	Yes	31.32	35	Ba or More	45-59	57002.4
1997	Unemployed	QC	Male	NA	NA	NA	NA	HS Dropout	30-44	NA
1997	Employed,	QC	Female	240	Yes	12.97	35	HS Grad	30-44	23605.4
1997	Employed,	AB	Male	17	NA	NA	60	HS Dropout	45-59	NA
1997	Employed,	ON	Male	87	No	19.47	40	HS Grad	45-59	40497.6
1997	Employed,	ON	Male	2	No	7	30	Some PS	15-29	10920
1997	Employed,	QC	Male	10	No	6.7	24	Some PS	15-29	8361.6
1997	Employed,	ON	Male	63	NA	NA	50	HS Grad	30-44	NA
1997	Employed,	ON	Male	19	No	10	8	HS Grad	15-29	4160
1997	Employed,	ON	Male	7	NA	NA	30	HS Grad	15-29	NA
1997	Employed,	AB	Male	6	No	15	40	HS Grad	15-29	31200
1997	Employed,	BC	Female	19	No	12	20	Some PS	45-59	12480
1997	Employed,	ON	Male	2	No	13	55	HS Grad	30-44	37180
1997	Employed,	ON	Male	9	No	13	40	HS Grad	15-29	27040
1997	Employed,	BC	Female	41	NA	NA	60	HS Grad	30-44	NA
1997	Employed,	QC	Male	64	NA	NA	84	Some PS	45-59	NA
1997	Employed,	AB	Male	24	No	16.87	37.5	Some PS	15-29	32896.5
1997	Employed,	QC	Female	171	Yes	15.78	29	Ba or More	45-59	23796.24
1997	Employed,	ON	Female	18	No	7.2	20	Some PS	15-29	7488
1997	Employed,	ON	Female	79	NA	NA	40	HS Dropout	45-59	NA
1997	Employed,	ON	Male	211	Yes	22	40	Some PS	45-59	45760
1997	Employed,	ON	Male	117	Yes	22.44	42	Some PS	30-44	49008.96
1997	Employed,	ON	Female	7	No	6.85	11	HS Dropout	15-29	3918.2
1997	Employed,	QC	Female	240	Yes	11	35	Some PS	45-59	20020
1997	Employed,	QC	Female	78	No	15	35	HS Grad	30-44	27300
1997	Employed,	QC	Female	95	No	10	10	HS Grad	30-44	5200
1997	Employed,	QC	Male	240	Yes	17.5	40	HS Dropout	30-44	36400
1997	Employed,	AB	Female	199	NA	NA	15	Some PS	60+	NA
1997	Employed,	ON	Male	132	NA	NA	50	Some PS	45-59	NA
1997	Employed,	ON	Male	7	No	8.5	40	Some PS	15-29	17680
1997	Employed,	QC	Male	30	No	9.65	40	HS Dropout	15-29	20072
1997	Employed,	AB	Male	240	Yes	25	40	Some PS	45-59	52000
1997	Employed,	BC	Male	31	Yes	24.04	34	Ba or More	45-59	42502.72
1997	Employed,	ON	Male	77	NA	NA	30	HS Dropout	45-59	NA
1997	Employed,	QC	Male	7	No	8.75	40	HS Grad	45-59	18200
1997	Employed,	ON	Male	103	No	10	40	HS Grad	15-29	20800
1997	Employed,	QC	Female	99	No	14.62	35.5	Some PS	45-59	26988.52
1997	Employed,	ON	Male	240	No	30.77	37.5	Ba or More	45-59	60001.5
1997	Employed,	AB	Male	20	Yes	14.42	40	Ba or More	30-44	29993.6
1997	Employed,	ON	Female	6	No	16.83	40	Some PS	15-29	35006.4
1997	Unemployed	ON	Female	NA	NA	NA	NA	Some PS	45-59	NA
1997	Employed,	BC	Male	55	NA	NA	55	Some PS	30-44	NA
1997	Employed,	AB	Male	93	No	27.4	40	Some PS	30-44	56992
1997	Employed,	AB	Male	5	No	8	40	HS Grad	15-29	16640
1997	Employed,	QC	Female	6	No	8.5	40	HS Dropout	45-59	17680
1997	Employed,	ON	Female	30	No	12	34	Some PS	30-44	21216
1997	Employed,	BC	Male	67	No	11	35	Ba or More	30-44	20020
1997	Employed,	AB	Male	60	NA	NA	55	Some PS	15-29	NA
1997	Employed,	ON	Male	240	No	24.04	40	Some PS	45-59	50003.2
1997	Employed,	AB	Female	22	No	8	8	HS Grad	15-29	3328
1997	Employed,	ON	Female	45	No	9	20	Ba or More	30-44	9360
